Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,poder electroaceptor,Electrofilicidad neta,Nucleofilicidad
1.0275,6.1125,3.57,-3.57,1.253,5.085,0.196656834,-6.1125,-1.0275,4.61,1.039,5.649,2.68
0.9645,6.0975,3.531,-3.531,1.215,5.132,0.194855807,-6.0975,-0.9645,4.516,0.985,5.501,2.695
1.4475,6.4625,3.955,-3.955,1.56,5.015,0.199401795,-6.4625,-1.4475,5.41,1.455,6.865,2.33
1.04,6.09,3.5617,-3.5617,1.2564,5.0483,0.198086485,-6.09,-1.04,4.6093,1.0476,5.6569,2.7025
0.884,6.635,3.76,-3.76,1.229,5.751,0.173882803,-6.635,-0.884,4.697,0.937,5.634,2.1575
0.942,6.637,3.79,-3.79,1.261,5.695,0.175592625,-6.637,-0.942,4.772,0.983,5.755,2.1555
0.993,6.812,3.903,-3.903,1.309,5.819,0.171850833,-6.812,-0.993,4.932,1.03,5.962,1.9805
0.748,6.661,3.704,-3.704,1.16,5.913,0.169118891,-6.661,-0.748,4.543,0.838,5.381,2.1315
0.717,6.873,3.795,-3.795,1.17,6.156,0.162443145,-6.873,-0.717,4.621,0.827,5.448,1.9195
1.016,6.717,3.867,-3.867,1.311,5.702,0.175377061,-6.717,-1.016,4.912,1.045,5.957,2.0755
0.771,6.697,3.734,-3.734,1.177,5.926,0.168747891,-6.697,-0.771,4.59,0.856,5.446,2.0955
1.22,6.24,3.73,-3.73,1.39,5.02,0.199203187,-6.24,-1.22,4.95,1.22,6.17,2.5525
1.74,6.2,3.97,-3.97,1.76,4.47,0.223713647,-6.2,-1.74,5.79,1.82,7.61,2.5925
1.76,6.04,3.9,-3.9,1.78,4.28,0.23364486,-6.04,-1.76,5.78,1.87,7.65,2.7525
1.38,6.22,3.8,-3.8,1.5,4.84,0.20661157,-6.22,-1.38,5.19,1.39,6.58,2.5725
1.69,6.08,3.88,-3.88,1.72,4.39,0.227790433,-6.08,-1.69,5.65,1.76,7.41,2.7125
1.4,6.19,3.8,-3.8,1.51,4.79,0.208768267,-6.19,-1.4,5.21,1.41,6.62,2.6025
1.79,6.12,3.96,-3.96,1.81,4.33,0.230946882,-6.12,-1.79,5.86,1.91,7.77,2.6725
